Incident_Category,Total,Avg_Delay,Severe_Rate,Total_Hrs,Share
Mechanical,207120,12.44,0.3,42936.6,32.2
Utilized Off Route,75141,9.35,0.16,11715.63,11.7
General Delay,62016,19.63,0.6,20288.95,9.6
Late Departure,57457,10.53,0.22,10086.78,8.9
Operator,49673,14.86,0.42,12304.5,7.7
Investigation,42904,12.85,0.3,9188.68,6.7
Diversion,41558,93.28,0.8,64610.78,6.5
Emergency Services,33515,13.91,0.38,7769.9,5.2
Cleaning,19896,14.07,0.37,4666.33,3.1
Security,16420,15.28,0.43,4182.23,2.6
Collision,15547,22.72,0.42,5886.4,2.4
Traffic,14470,15.2,0.45,3665.9,2.2
Vision,6643,13.81,0.38,1528.63,1.0
Passenger,1507,20.67,0.45,519.27,0.2
Other,23,45.26,0.57,17.35,0.0
