Vehicle,Incidents,Avg_Delay,Total_Hrs,Severe_Rate,Total_Vehicles
9034.0,221,9.32,34.32,0.07,3893
9014.0,208,8.89,30.82,0.05,3893
9000.0,199,9.19,30.48,0.06,3893
9001.0,199,8.89,29.5,0.07,3893
9015.0,198,8.22,27.13,0.01,3893
9030.0,197,8.38,27.52,0.06,3893
9037.0,196,8.41,27.48,0.04,3893
9002.0,195,9.03,29.35,0.04,3893
9048.0,195,7.99,25.98,0.05,3893
9006.0,191,10.13,32.25,0.05,3893
8304.0,189,14.21,44.75,0.38,3893
9017.0,189,9.04,28.47,0.03,3893
9016.0,187,9.17,28.57,0.05,3893
9013.0,187,8.5,26.48,0.03,3893
9019.0,186,8.62,26.72,0.03,3893
9029.0,183,8.11,24.73,0.05,3893
9035.0,182,9.65,29.28,0.07,3893
1208.0,179,12.41,37.03,0.3,3893
9011.0,179,9.23,27.55,0.06,3893
8135.0,176,13.92,40.83,0.43,3893
1219.0,174,12.43,36.05,0.3,3893
9038.0,170,8.52,24.13,0.05,3893
8332.0,170,14.29,40.48,0.42,3893
9050.0,168,8.83,24.72,0.08,3893
9021.0,167,8.51,23.68,0.05,3893
9049.0,167,8.25,22.95,0.05,3893
8307.0,167,14.26,39.7,0.4,3893
9031.0,167,8.71,24.23,0.07,3893
9043.0,166,8.16,22.58,0.03,3893
9008.0,165,9.24,25.4,0.04,3893
